frase,risco,fator,taxonomia,metadata
"Ele grita comigo quando algo não sai do jeito dele.",Alto,Intimidação Verbal,Agressão Psicológica,Controle por medo
"Conversamos normalmente, mesmo quando discordamos de algo.",Baixo,Comunicação Saudável,Diálogo Respeitoso,Relação equilibrada
"Ele me chama de nomes ofensivos quando está irritado.",Alto,Violência Verbal,Abuso Emocional,Degradação sistemática
"Se eu falo algo que ele não gosta, ele fica em silêncio por dias.",Médio,Punição pelo Silêncio,Lei do Gelo,Manipulação emocional
"Ele sempre me escuta e respeita minha opinião.",Baixo,Respeito Mútuo,Validação Emocional,Comunicação saudável
"Quando discutimos, ele levanta a voz e eu fico com medo.",Alto,Escalada de Conflito,Intimidação por Volume,Clima de tensão
"Ele diz que sou exagerada e dramática sempre que expresso meus sentimentos.",Médio,Invalidação Emocional,Gaslighting Leve,Desqualificação de emoções
"Ele me faz sentir culpada por coisas que não são minha responsabilidade.",Médio,Culpabilização,Manipulação Psicológica,Transferência de culpa
"Sinto que posso ser eu mesma e expressar o que sinto sem medo de julgamento.",Baixo,Autenticidade,Aceitação Genuína,Relação saudável
"Ele revira os olhos e suspira alto quando eu falo, como se eu fosse um incômodo.",Médio,Desprezo Não-Verbal,Comunicação Hostil,Falta de respeito
"Ele me compara com outras mulheres de forma negativa.",Alto,Comparação Depreciativa,Violência Psicológica,Rebaixamento de autoestima
"Quando ele está bravo, eu evito falar para não piorar a situação.",Alto,Autocensura por Medo,Clima de Tensão Constante,Repressão de expressão
"Ele me interrompe sempre que tento falar sobre meus sentimentos.",Médio,Silenciamento,Desvalorização da Voz,Falta de espaço emocional
"Ele usa tom sarcástico e irônico para responder minhas preocupações.",Médio,Sarcasmo Hostil,Comunicação Passivo-Agressiva,Desqualificação velada
"Quando estou chateada, ele diz que estou de TPM e não me leva a sério.",Alto,Patologização de Emoções,Gaslighting de Gênero,Invalidação por estereótipo
